"","itens"
"234","BALDE PLASTICO COM ALCA,CAPAC.APROX. 10 LITROS,QUALQUER COR."
"235","BALDE PLASTICO COM CAPACIDADE DE 15 LITROS.*"
"236","BALDE PLASTICO COM CAPACIDADE DE 17 LITROS,"
"237","BALDE PLASTICO COM CAPACIDADE PARA 20 LITROS"
"238","BALDE PLASTICO COM TAMPA, LACRE E ALCA 2,2L"
"239","BALDE PLASTICO COM TAMPA, LACRE E ALCA 3,2L"
"240","BASE SELADORA PARA PISOS POROSOS, EMBALAGEM COM 5 LITROS *"
"241","BORRIFADOR DE AGUA COM 500 ML"
"242","BORRIFADOR DE PLASTICO PARA AGUA E ALCOOL PARA MOLHAR PLANTAS (DET)"
"243","CERA LIQUIDA EMBALAGEM DE 5 LITROS - INCOLOR, P/CONSERV.DIVERSOS PISOS"
"244","CERA LIQUIDA EMBALAGEM DE 5 LITROS COR BRANCA PARA ASSOALHO"
"245","DESENGRAXANTE/DESENCRUSTANTE/DESINGRIPANTE,P/REMOCAO GORDURA DE EFEITORAPIDO,P/USO EM FOGOES,FORNOS,GRELHAS E FRITADEIRA"
"246","DESENTUPIDOR DE BORRACHA DESENTUPIDOR DE BORRACHA COM CABO P/ VASO SANITARIO *"
"247","DESENTUPIDOR MANUAL PARA VASO SANITARIO"
"248","DESINFETANTE LIQUIDO ACAO GERMICIDA E BACTERICIDA GALAO COM 05 LITROS"
"249","DESINFETANTE LIQUIDO AROMA LAVANDA - EMBALAGEM 500ML*"
"250","DESINFETANTE LIQUIDO DESINFETANTE LIQUIDO, AROMA LAVANDA, 100% BIODEGRADAVEL"
"251","DESINFETANTE LIQUIDO EM LITRO"
"252","DESINFETANTE LIQUIDO SEM CLORO"
"253","DESODORIZADOR DE AR DESODORIZADOR DE AR"
"254","DESODORIZANTE AROMATICO PARA BANHEIRO COM REFIL E SUPORTE PERMANENTE COM NOMINIMO 35 GRAMAS *"
"255","DETERGENTE LIQUIDO NEUTRO CONCENTRADO P/PISOS E PAREDES,5L"
"256","DETERGENTE LIQ.NEUTRO,BIODEGR.P/LIMP.DE ART.,UTENC.P/ PREP.DE ALIMENTO*"
