"","itens"
"1460",""
"1461","ELETR.CONTR.FORCA VENTIL. PULM.COMP.MAQUET.MCC06651405"
"1462","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR PLACA"
"1463",""
"1464","ELETR.PAIN.TRAS.PNEUM.VENT.PUL.COMP.MAQUET.MCC06651389"
"1465","PESO (PARA CORRECAO) PESO P/CORRECAO DE OURO 1,0 GRAMAS (CORRECAO DE"
"1466",""
"1467","LAGOFTALMO)"
"1468","PESO (PARA CORRECAO) PESO P/CORRECAO DE OURO 1,2 GRAMAS (CORRECAO DE"
"1469",""
"1470","LAGOFTALMO)"
"1471","PESO (PARA CORRECAO) PESO P/CORRECAO DE OURO 1,4 GRAMAS (CORRECAO DE"
"1472",""
"1473","LAGOFTALMO)"
"1474","PESO (PARA CORRECAO) PESO P/CORRECAO,DE OURO 0,8 GRAMAS (CORRECAO DE"
"1475",""
"1476","LAGOFTALMO)"
"1477","PINCA CRILE PINCA CRILE CURVA DE 16 CM."
"1478","PINCA DE USO HOSPITALAR/LABORATORIAL PINCA ADSON BROWN 18CM"
"1479","PINCA DENTE DE RATO EM ACO INOX PINCA DENTE DE RATO EM ACO INOX DE 20 CM DE"
"1480",""
"1481","COMPRIMENTO."
"1482","PINÐA DE BIOPSIA PINCA DE BIÎPSIA PARA COLONO"
"1483","PINÐA DE BIOPSIA PINCA DE BIÎPSIA PARA GASTRO"
"1484","PLACA DE LISS PLACA DE LISS OU MISS TRATAMENTO DE FRATURA DE FEMUR DISTAL"
"1485","PLATAFORMA PLATAFORMA DESCARTAVEL P/EXPANSOR DE PELE, MEDINDO 1:6 (DET)"
"1486","PLATAFORMA PLATAFORMA DESCARTAVEL PARA EXPANSOR DE PELE (DET)"
"1487","PLATAFORMA PLATAFORMA DESCARTAVEL PARA EXPANSOR DE PELE,(DET)"
"1488","PONTA PONREIRA PADRÃO CURVA DE 36 KHZ, COMPATIVEL COM CUSA EXCEL"
"1489","PONTA PONTA DESC.EST.MICRO TIP 23KHZ.COMP.ASP.ULTRASSONICO,INTEGRA"
"1490","PONTA PONTEIRA CIRURGICA DE 23 KHZ. COMP.ASP.ULTRASSONICO,INTEGRA"
"1491","PONTA PONTEIRA CIRURGICA TIP  36 KHZ.COMP.ASP.ULTRASSONICO,INTEGRA"
"1492","PONTA PONTEIRA PADRAO RETA 36 KHZ. COMP.ASP.ULTRASSONICO,INTEGRA"
"1493","PRESSURISADOR PRESSURISADOR PARA RAPIDA INFUSAO DE SANGUE E SOLUCOES"
"1494","PRODUTOS QUIMICOS PRODUTOS QUIMICOS P/ INDOCIANINA VERDE (AMPOLA 5MG)"
"1495","PRODUTOS QUIMICOS SOLUCAO PARA TINGIMENTO DE MEMBRANA RETINIANAS"
"1496","PRODUTOS QUIMICOS SOLUCAO PARA TINGIMENTO,MEMBRANA RETINIANAS AZUL TRYPAN0,1%"
"1497","PRODUTOS QUIMICOS SOLUCAO SALINA BALANCEADA FISIOLOGICA"
"1498","PRODUTOS QUIMICOS SOLUCAO SALINA BALANCEADA,VIDRO 500ML"
"1499","RESSUSCITADOR MANUAL DE USO MEDICO RESERVATÎRIO, CAPACIDADE 2500ML"
"1500","RESSUSCITADOR MANUAL DE USO MEDICO RESSUSCITADOR MANUAL DE SILICONE P/PACIENTENEO. FECHADO (D)"
"1501","RESSUSCITADOR MANUAL RESSUSCITADOR MANUAL EM SILICONE P/USO PEDIATRICO (500ML)"
"1502","SENSOR DE FLUXO. EXTENSOR PARA SENSOR DE OXIMETRIA PARA MARCA MINDRAY"
"1503","SENSOR DE FLUXO. OXIMETRIA REUTILIZAVEL COMPLETO"
"1504","SENSOR DE FLUXO. SENSOR DE DEDO NEONATAL TIPO Y, MODELO M1193AN (DET)"
"1505","SENSOR DE FLUXO. SENSOR DE FLUXO EXPIRATÎRIO, ADULTO,COMPATIVEL C/VYAIRE IX5"
"1506","SENSOR DE FLUXO. SENSOR DE OXIMETRIA ADULTO CLIP COMP.MINDRAY MEC 1000"
"1507","SENSOR DE FLUXO. SENSOR DE OXIMETRIA NEO Y COMP.MINDRAY DO P1 E P2."
"1508","SENSOR DE FLUXO. SENSOR DE OXIMETRIA NEO Y COMP.MINDRAY MEC 1000"
"1509","SENSOR DE FLUXO. SENSOR DE OXIMETRIA REUT.TIPO Y,COMP. MONITOR MULTIPARÅMETRO"
"1510","SENSOR DE FLUXO. SENSOR DE OXIMETRIA REUTILIZAVEL COMP. GE B650."
"1511","SENSOR DE FLUXO. SENSOR DE OXIMETRIA REUTILIZAVEL COMPLETO,COMP. LIFEMED M12"
"1512","SENSOR DE FLUXO. SENSOR DE OXIMETRIA REUTILIZAVEL COMPLETO,COMP. PROLIFE C120"
"1513","SENSOR DE FLUXO. SENSOR DE OXIMETRIA REUTILIZAVEL,COMPLETO,CONECTOR TIPO CLIP"
"1514","SENSOR DE FLUXO. SENSOR DE OXIMETRIA REUTILIZAVEL,CONECTOR TIPO CLIPE,COMPLET"
"1515","SENSOR DE FLUXO. SENSOR DE OXIMETRIA TIPO CLIP REUTILIZAVEL (DET)"
"1516","SENSOR DE FLUXO. SENSOR DE OXIMETRIA TIPO CLIP REUTILIZAVEL (DETALHADA)"
"1517","SENSOR DE FLUXO. SENSOR DE OXIMETRIA TIPO CLIP REUTILIZAVEL, COMPATIVEL COM"
"1518","SENSOR DE FLUXO. SENSOR DE OXIMETRIA TIPO CLIP, MMP DATASCOPE"
"1519","SENSOR DE FLUXO. SENSOR DE OXIMETRIA TIPO CLIP, ORIGINAL, COMPATIVEL (DET)"
"1520","SENSOR DE FLUXO. SENSOR DE OXIMETRIA TIPO Y REUTILIZAVEL, COMPATIVEL COM TECN"
"1521","SENSOR DE FLUXO. SENSOR DE OXIMETRIA, CLIP, COMPATIVEL MONITOR GE, DASH 4000"
"1522","SENSOR DE FLUXO. SENSOR DE OXIMETRIA, PARA USO EM MMP, DATASCOPE, SPECTRUM"
"1523","SENSOR DE FLUXO. SENSOR DE OXIMETRIA, Y, COMPATIVEL COM MONITOR GE, DASH 4000"
"1524","SENSOR DE FLUXO. SENSOR DE OXIMETRIA,REUTILIZAVEL,COMPLETO,CONECTOR TIPO CLIP"
"1525","SENSOR DE FLUXO. SENSOR DE OXIMETRIA,REUTILIZAVEL,COMPLETO,CONECTOR TIPO Y,CO"
"1526","SENSOR DE FLUXO. SENSOR DE OXIMETRIA,TIPO Y,NEONATAL,PERMANENTE,NELLCOR OXIMA"
"1527","SENSOR DE FLUXO. SENSOR DE OXIMETRIA/CLIPE ADULTO,COMPAT.OXIM. MARCA DIXTAL"
"1528","SENSOR DE FLUXO. SENSOR DE TEMPERATURA, TIPO PELE, COMPAT. C/PROLIFE C12/C120"
"1529","SENSOR DE FLUXO. SENSOR DE TEMPERATURA, TIPO PELE, COMPATIVEL C/LIFEMED M12"
"1530","SENSOR DE FLUXO. SENSOR INFANTIL/NEONATAL EMY,MARCA DIXTAL"
"1531","SENSOR DE FLUXO. SENSOR INFANTIL/NEONATAL,TIPO FLEX EM Y,C/CABO (D)"
"1532","SENSOR DE FLUXO. SENSOR OXIMET. TEC. NONIN.ADULTO,SENSOR/PRÔ-CABO,WELCH ALLYN"
"1533","SENSOR DE FLUXO. SENSOR OXIMETRIA TECNOLOGIA NELLCOR,WELCH ALLYN MOD.LXI 45NE"
"1534","SENSOR DE FLUXO. SENSOR OXIMETRIA TECNOLOGIA,TIPO Y,WELCH ALLYN LXI 45NEO-E2."
"1535","SENSOR DE FLUXO. SENSOR TIPO CLIP DE DEDO, ADULTO, COM CABO EXTENSOR,(D)"
"1536","SENSOR DE FLUXO. SENSOR TIPO Y, MMP DATEX-OHMEDA, MODELO CARDIOCAP."
"1537","SENSOR DE TEMPERATURA SENSOR DE TEMPERATURA DA PELE,REUTILIZAVEL,COMPATIVEL"
"1538",""
"1539","C/MONI"
"1540","SERINGA PARA BOMBA INJETORA KIT 2 SERINGAS.200ML,CAR.FRONTAL,2HANDI-FILS.BOMBA"
"1541",""
"1542","INJETORA"
"1543","SERINGA PARA BOMBA INJETORA KIT SERINGA COMP.C/BOMBA SPECTRIS SOLARIS"
"1544","SERINGA PARA BOMBA INJETORA SERINGA DESC.20ML"
"1545","SERINGA PARA BOMBA INJETORA SERINGA DESC.60ML"
"1546","SERINGA PARA BOMBA INJETORA SERINGA DESCARTAVEL 10CC/ML (BOMBA DE INFUSAO)"
"1547","SERINGA PARA BOMBA INJETORA SERINGA DESCARTAVEL 5CC/ML"
"1548","SERRA DE USO MEDICO/HOSPITALAR SERRA DE GIGLI"
"1549","SERRA DE USO MEDICO/HOSPITALAR SERRA MATHIEU COM 1 LAMINA(D)"
"1550","SISTEMA DA BAIN SISTEMA DA BAIN RESPIRATORIO COM SISTEMA ANTI-POLUICAO"
"1551","TESOURA DE USO MEDICO TESOURA METZEMBAUM CURVA, 12,7CM COMP."
"1552","TESOURA PARA BISTURI TESOURA COAGULAD. ULTRASS.PONTA"
"1553",""
"1554","CURVA/RETA,5MM.APROX.35A39CM"
"1555","TESOURA PARA BISTURI TESOURA COAGULADORA ULTRASSONICA PONTA CURVA OU RETA,"
"1556",""
"1557","5MM"
"1558","TESOURA PARA BISTURI TESOURA COAGULADORA ULTRASSONICA CURVA OU RETA 5MM"
"1559","TOMADA DUPLA TOMADA DUPLA PARA AR COMPRIMIDO"
"1560","TOMADA DUPLA TOMADA DUPLA PARA REDE CANALIZADA DE OXIGENIO"
"1561","TRANSDUTOR TRANSDUTOR ENDOCAVITARIO,COMP.ULTRASSOM MINDRAY MODELO DC-70"
"1562","TREPANO A VACUO 9,25"
"1563","TREPANO PARA DRILL FRESA PARA TREPANO 12/15MM TE 563"
"1564","TREPANO PREPANO 9,5  A VACUO"
"1565","TREPANO PUNCH A VACUO 7,0"
"1566","TREPANO PUNCH A VACUO 9,0"
"1567","TREPANO PUNCH A VACUO 9,50"
"1568","TREPANO PUNCH A VACUO 7,5"
"1569","TREPANO TREPANO 7,0 - P/CIRURGIA DE TRANSPLANTE DE CORNEA"
"1570","TREPANO TREPANO 7,5 MODELO LE BARON, A VACUO"
"1571","TREPANO TREPANO 7,75 - P/CIRURGIA DE TRANSPLANTE DE CORNEA"
"1572","TREPANO TREPANO 8,0  A VACUO"
"1573","TREPANO TREPANO 8,2 - P/CIRURGIA DE TRANSPLANTE DE CORNEA"
"1574","TREPANO TREPANO 8,5  A VACUO"
"1575","TREPANO TREPANO 9,0  A VACUO"
"1576","TREPANO TREPANO A VACUO 8,75"
"1577","TREPANO TREPANO PUNCH 7,25  A VACUO"
"1578","TREPANO TREPANO PUNCH 7,7  A VACUO"
"1579","TREPANO TREPANO PUNCH 8,00  A VACUO"
"1580","TREPANO TREPANO PUNCH 8,2"
"1581","TREPANO TREPANO PUNCH 8,50  A VACUO"
"1582","TREPANO TREPANO PUNCH 8,7  A VACUO"
"1583","TREPANO TREPANO PUNCH 9,2 MODELO LEBARON, A VACUO"
"1584","TROCATER TROCATER P/REALIZAR CISTOSTOMIA,DISCO FIXACAO,S.FOLEY18-20FR"
"1585","TUBO CIRURGICO TUBO CIRURGICO EM  SILICONE 0,9 X 0,6 X 50CM"
"1586","TUBO CIRURGICO TUBO CIRURGICO EM SILICONE  0,07 X 0,03 X 125 MM"
"1587","TUBO CONECTOR CONJUNTO DE TUBOS MULTIPLOS COMP. C/CUSA EXCEL 23KHZ"
"1588","TUBO CONECTOR CONJUNTO DE TUBOS MULTIPLOS COMP. C/CUSA EXCEL 36KHZ"
"1589","TUBO CONECTOR TRAQUEAL EM T, SILICONE, P/ADULTO,C/12MM,TIPO MONTGOMERY"
"1590","TUBOS FLEXIVEIS PARA HISTEROSCOPIA TUBO FLEXIVEL P/HISTEROSCOPIA"
"1591",""
"1592","COMP.C/IRRIGADOR KARL STORZ"
"1593","UMIDIFICADOR DE OXIGENIO UMIDIFICADOR DE OXIGENIO, PLASTICO,FR C/250 ML,C/TAMPA"
"1594","UMIDIFICADOR DE OXIGENIO VALVULA DE FECH. TIPO BI P/ UTILIZACAO EM (D)"
"1595","UMIDIFICADOR DE OXIGENIO VALVULA DE FECH. TIPO BI P/ UTILIZACAO EM PTO. DE VACUO"
"1596","VALVULA DE USO MEDICO VALVULA BI PARA VACUO"
"1597","VALVULA DE USO MEDICO VALVULA DE EXALAÇÃO, COMPATIVEL C/ VYAIRE IX5"
"1598","VALVULA DE USO MEDICO VALVULA EXPIRATÎRIO AUTOCLAVAVEL P/VENTILADOR"
"1599",""
"1600","PULMONAR(DET.)"
"1601","VALVULA PARA HIDROCEFALIA VALVULA P/HIDROCEFALIA  C/REGULAGEM EXTERNA DE"
"1602",""
"1603","PRESSAO"
"1604","FORMULARIOS E IMPRESSOS"
"1605","ETIQUETA AUTO-ADESIVA PARA IDENTIFICACAO EM PAPEL"
"1606",""
"1607","COUCHE,BRANCA,MED.100MMX39MM, ROLO C/835 ETIQUETAS"
"1608","IMPRESSO ANESTESIOLOGIA MODELO SMA/3 - 001"
"1609","IMPRESSO CADERNETA DE SAUDE DA CRIANCA - MENINAS"
"1610","IMPRESSO CADERNETA DE SAUDE DA CRIANCA - MENINOS"
"1611","IMPRESSO CAPA DE INQUERITO POLICIAL - IOESC 61423"
"1612","IMPRESSO CAPA PRONTUARIO C-054"
"1613","IMPRESSO CERTIFICADO CONCLUSAO DE CURSO"
"1614","IMPRESSO COMUNICACAO DE NASCIMENTO MODELO FMCD - 001"
"1615","IMPRESSO CONTROLE DE SORO"
"1616","IMPRESSO ENVELOPE PARA MEDICAMENTO FHCS-074"
"1617","IMPRESSO FICHA ALVARA"
"1618","IMPRESSO FOLDERS/CARTAZ COMO TIRAR O LEITE DO PEITO"
"1619","IMPRESSO LIVRO - AMAMENTAR"
"1620","IMPRESSO MCP MODELO 003 - CAPA DE PROCESSO"
"1621","IMPRESSO MCP MODELO 027 - ENVELOPE OFICIO C/TIMBRE DO ESTADO"
"1622","IMPRESSO MCP MODELO 028 - ENVELOPE SACO C/TIMBRE DO ESTAO - TAM. PEQ."
"1623","IMPRESSO MCP MODELO 029 - ENVELOPE SACO/TIMBRE DO ESTADO TAM. MEDIO"
"1624","IMPRESSO MCP MODELO 030 - ENVELOPE SACO C/TIMBRE DO ESTADO-TAM. GRANDE"
"1625","IMPRESSO MCP MODELO 091 - ENVELOPE CARTA OU CARTAO"
"1626","IMPRESSO MCP MODELO 124 - RASCUNHO S/TIMBRE"
"1627","IMPRESSO MCP MODELO 174 - ENVELOPE SACO C/TIMBRE"
"1628","IMPRESSO NOTIFICACAO DE RECEITA"
"1629","IMPRESSO RECEITUARIO DE CONTROLE ESPECIAL"
"1630","IMPRESSO REGISTRO INDIVIDUAL DE NOTIFICACAO"
"1631","IMPRESSO REQUISICAO PSICOTROPICO M-002"
"1632","FOTOGRAFIA, CINEMATOGRAFIA E FONOGRAFIA"
"1633","BATERIA BATERIA A23 - 12V"
"1634","BATERIA RECARREGAVEL, DE LITIO"
"1635","BOLSA PARA CAMERA FOTOGRAFICA"
"1636","CAMERA DE VIDEO PACK/KIT PARA EXPANSAO"
"1637","CAMERA FOTOGRAFICA DIGITAL"
"1638","CAPA PARA CD EM ACRILICO,"
"1639","COMPONENTES E ACESSORIOS PARA MAQUINA FOTOGRAFICA FLASH"
"1640","DVD - VIRGEM PARA GRAVACAO"
"1641","DVD - VIRGEM PARA GRAVACAO, RW + REGRAVAVEL"
"1642","FILMADORA DO TIPO DIGITAL FULL HD"
"1643","ILUMINADOR ILUMINACAO CAMERA"
"1644","LENTE FOTOGRAFICA E FILMOGRAFICA PARA MAQUINA FOTOGRAFICA"
"1645","MESA DE SOM MESA DE SOM"
"1646","MICROFONE DINAMICO"
"1647","PROJETOR MULTIMIDIA"
"1648","TELEVISOR TELEVISAO SMART 50"""
"1649","TRIPE PARA MAQUINA FOTOGRAFICA"
"1650","FERRAMENTAS"
"1651","ALICATE BOMBA D3⁄4AGUA"
"1652","ALICATE COM CABO ISOLANTE"
"1653","ALICATE DE BICO"
"1654","ALICATE DE CORTE"
"1655","ALICATE DE CORTE LATERAL"
"1656","ALICATE DE PRESSAO"
"1657","ALICATE TIPO ELETRICISTA 8"" COM ISOLAMENTO"
"1658","ALICATE UNIVERSAL"
"1659","ARCO COM SERRA REGULAVEL"
"1660","BROCA 10MM PARA CONCRETO"
"1661","BROCA 6MM PARA CONCRETO"
"1662","BROCA COM 8,00MM"
"1663","BROCA DE ACO RAPIDO MEDINDO 10,00 MM"
"1664","BROCA DE ACO RAPIDO MEDINDO 12 MM"
"1665","BROCA DE ACO RAPIDO MEDINDO 2,00MM"
"1666","BROCA DE ACO RAPIDO MEDINDO 2,50 MM"
"1667","BROCA DE ACO RAPIDO MEDINDO 3,0 MM"
"1668","BROCA DE ACO RAPIDO MEDINDO 3,5MM"
"1669","BROCA DE ACO RAPIDO MEDINDO 4,00 MM"
"1670","BROCA DE ACO RAPIDO MEDINDO 4,50MM"
"1671","BROCA DE ACO RAPIDO MEDINDO 5,00 MM"
"1672","BROCA DE ACO RAPIDO MEDINDO 5,5 MM"
"1673","BROCA DE ACO RAPIDO MEDINDO 6,00 MM"
"1674","BROCA DE ACO RAPIDO MEDINDO 6,5 MM"
"1675","BROCA DE ACO RAPIDO MEDINDO 7,00 MM"
"1676","BROCA DE ACO RAPIDO MEDINDO 7,50 MM"
"1677","BROCA DE ACO RAPIDO MEDINDO 8MM"
"1678","BROCA DE ACO RAPIDO MEDINDO 9,00 MM"
"1679","BROCA DE ACO RAPIDO MEDINDO 9,5 MM"
"1680","BROCA DE VIDEA MEDINDO 10,00 MM"
"1681","BROCA DE VIDEA MEDINDO 12 MM"
"1682","BROCA DE VIDEA MEDINDO 13MM"
"1683","BROCA DE VIDEA MEDINDO 5,00 MM"
"1684","BROCA DE VIDEA MEDINDO 6,00 MM"
"1685","BROCA DE VIDEA MEDINDO 7,00 MM"
"1686","BROCA DE VIDEA MEDINDO 8,00 MM"
"1687","BROCA EM ACO"
"1688","CAIXA PARA FERRAMENTAS EM PLASTICO"
"1689","CAVADEIRA CABO MADEIRA"
"1690","CHAVE DE FENDA MEDIA 1/4 POR 6"
"1691","CHAVE DE FENDA TAMANHO GRANDE 3/16 POR 6"
"1692","CHAVE DE FENDA TIPO TESTE"
"1693","CHAVE TIPO FENDA/PHILLIPS DE FENDA 1/4 X 10"
"1694","CHAVE TIPO FENDA/PHILLIPS DE FENDA 1/4 X 8"""
"1695","CHAVE TIPO FENDA/PHILLIPS DE FENDA 3/16 X 6"
"1696","CHAVE TIPO FENDA/PHILLIPS PHILLIPS 1/4 X 6"""
"1697","CHAVE TIPO FENDA/PHILLIPS PHILLIPS 1/8 X 3"""
"1698","CHAVE TIPO FENDA/PHILLIPS TAMANHO 5/16 X 6"""
"1699","CHAVES DIVERSAS JOGO DE CHAVE ALLEN"
"1700","CHAVES DIVERSAS MANDRIL"
"1701","COLHER DE PEDREIRO (UTILIZADA NA CONSTRUCAO CIVIL)"
"1702","COMPONENTES E ACESSORIOS DE FERRAMENTAS PERNA DE SERRA"
"1703","DISCO DE CORTE 2.5MMX115MM FURO 7/8''"
"1704","DISCO DE CORTE DIAMANTADO UNIVERSAL SEGMENTADO 110MM"
"1705","DISCO DE CORTE DISCO DE CORTE 4.1/2X2X7/8"
"1706","DISCO DE CORTE DISCO PARA SERRA DE MADEIRA"
"1707","DISCO DE CORTE DISCO SERRA MARMORE CORTE A SECO DIAMENTADO"
"1708","DISCO DE CORTE MULTIUSO 3X1115X2.2X22.2MM 1 1/2X3/32X''7/8''"
"1709","DISCO DE CORTE PARA CERAMICA"
"1710","DISCO DE CORTE PARA FERRO"
"1711","ENXADA ENXADA"
"1712","ESPATULA DE ACO  MEDINDO 5 CM"
"1713","ESPATULA DE ACO MEDINDO 9 CM"
"1714","ESQUADRO PARA PEDREIRO"
"1715","ESQUADRO REFERENCIA 160 PARA PEDREIRO"
"1716","FACAO DE ACO CABO DE MADEIRA"
"1717","FERRAMENTA MANUAL BICO PARA PNEU"
"1718","FERRAMENTAS MANUAIS CONSUMO CORTADOR DE VIDRO"
"1719","FERRAMENTAS MANUAIS CONSUMO TORQUES"
"1720","FERRAMENTAS MANUAIS CONSUMO VENTOSA DUPLA PROFISSIONAL"
"1721","FURADEIRA DE IMPACTO POTENCIA 600 WATTS"
"1722","GROSA PARA MADEIRA 10"""
"1723","LAMINA DE SERRA ACO RAPIDO"
"1724","LAMINA DE SERRA CIRCULAR COM 24 DENTES"
"1725","LAMINA PARA SERRA KIT COM 8 LAMINAS PARA SERRA TICO TICO"
"1726","LIXA DE CINTA"
"1727","LIXA FINA 220"
"1728","LIXA G 125 MADEIRA 080  - MEDIA"
"1729","LIXA GRAO NR.100"
"1730","LIXA GRAO NR.60"
"1731","LIXA LIXA FERRO NUMERO 50"
"1732","LIXA PARA FERRO NR.100"
"1733","LIXA PARA MASSA N120"
"1734","LIXA PARA MASSA,150"
"1735","MAQUINA SERRA SABRE EQUIP. PARA USO GERAL"
"1736","MAQUINAS, UTENSILIOS E EQUIPAMENTOS DIVERSOS FURADEIRA/PARAFUSADEIRA"
"1737","MARRETA COM CABO DE MADEIRA"
"1738","MARTELO PROFISSIONAL P/CARPINTARIA, COM CABO DE MADEIRA"
"1739","PA COM CABO DE MADEIRA"
"1740","PA DE JUNTAR COM CABO DE MADEIRA"
"1741","PLAINA ELETRICA COM POTENCIA DE 700 WATTS"
"1742","REBITADEIRA MANUAL TIPO ALICATE"
"1743","SERRA ELETRICA MARMORE POTENCIA MINIMA 1400 WATS"
"1744","SERRA PARA FERRO - PARA ARCO MANUAL ACO RAPIDO, COM APROX. 30CM"
"1745","TALHADEIRA . COM PONTEIRA DE ACO, MEDINDO 30 CM"
"1746","TALHADEIRA . PROFISSIONAL PARA CARPINTARIA"
"1747","TRENA 50M EM LAMINA DE AÇO"
"1748","TRENA DE ACO ESMALTADA COM 05 METROS"
"1749",""
"1750","AGUA MINERAL BOMBONA DE 20 LITROS*"
"1751","ACUCARES ACUCAR CRISTAL (EMB. C/ 1KG)"
"1752","ACUCARES ACUCAR DE CONFEITEIRO PCTE.C/1 KG."
"1753","ACUCARES ACUCAR MASCAVO,(1KG)"
"1754","ACUCARES ACUCAR REFINADO"
"1755","ACUCARES ACUCAR REFINADO (EMB. C/ 1KG)  *"
"1756","ACUCARES E ADOCANTES ADOCANTE 100ML"
"1757","ACUCARES E ADOCANTES ADOCANTE DIETETICO LIQUIDO,FRASCO COM 100 ML"
"1758","ACUCARES E ADOCANTES ADOCANTE EM PO - POTE"
"1759","ACUCARES E ADOCANTES MODULO DE MALTODEXTRINA PARA NUTRICAO ENTERAL E ORAL"
"1760","ACUCARES E ADOCANTES MODULO DE MALTODEXTRINA SEM TRACOS DE LEITE"
"1761","AGUA MINERAL AGUA MINERAL, SEM GAS, EM COPO DE 200ML"
"1762","AGUA MINERAL SEM GAS, 20 LITROS"
"1763","ALIMENTO PARA DIETA ENTERAL  FORMULA ENTERAL E ORAL OLIGOMERICA, EM PO"
"1764","ALIMENTO PARA DIETA ENTERAL  FORMULA ENTERAL E ORAL P/ PACIENTES C/ DII, EM PO"
"1765","ALIMENTO PARA DIETA ENTERAL  FORMULA PEDIATRICA ENTERAL COM 1,0 KCAL/ML, LIQUIDA,SF"
"1766","ALIMENTO PARA DIETA ENTERAL FORMULA ENTERAL > 1,5 KCAL/ML, HIPERPROTÔICA, 1000ML, SF"
"1767","ALIMENTO PARA DIETA ENTERAL FORMULA ENTERAL > 1,5 KCAL/ML, RESTRITA EM NA, K E P,"
"1768",""
"1769","SF"
"1770","ALIMENTO PARA DIETA ENTERAL FORMULA ENTERAL COM > 1,5 KCAL/ML, OLIGOMÔRICA, SF"
"1771","ALIMENTO PARA DIETA ENTERAL FORMULA ENTERAL COM 1,5 KCAL/ML, HIPERPROTÔICA, 500"
"1772",""
"1773","ML, SF"
"1774","ALIMENTO PARA DIETA ENTERAL FORMULA ENTERAL COM DE NORMAL, OLIGOMÔRICA, 1000"
"1775",""
"1776","ML, SF"
"1777","ALIMENTO PARA DIETA ENTERAL FORMULA ENTERAL COM DE NORMAL, OLIGOMÔRICA, 500 ML,"
"1778",""
"1779","SF"
"1780","ALIMENTO PARA DIETA ENTERAL FORMULA ENTERAL OLIGOMÔRICA, 90 G/L DE PROTEINAS, SF"
"1781","ALIMENTO PARA DIETA ENTERAL FORMULA ENTERAL P/ CONTROLE GLICÕMICO 0,9 A 1,2"
"1782",""
"1783","KCAL/ML, SF"
"1784","ALIMENTO PARA DIETA ENTERAL FORMULA ENTERAL P/ CONTROLE GLICÕMICO COM DE ALTA,"
"1785",""
"1786","SF"
"1787","ALIMENTO PARA DIETA ENTERAL FORMULA ENTERAL PARA CICATRIZAçãO, SF"
"1788","ALIMENTO PARA DIETA ENTERAL FORMULA ENTERAL PARA PACIENTES CRITICOS, SF"
"1789","ALIMENTO PARA DIETA ENTERAL FORMULA ORAL P/ PCTES. C/ DRC EM DIALISE LIQ. C/ SABOR"
"1790","ALIMENTO PARA DIETA ENTERAL FORMULA ORAL P/ PCTES. C/ DRC TTO. CONSERVADOR LIQ. C/"
"1791",""
"1792","SABOR"
"1793","ALIMENTO PARA DIETA ENTERAL FORMULA PADRAO PARA NUTRICAO ENTERAL COM FIBRAS,"
"1794",""
"1795","SF"
"1796","ALIMENTO PARA DIETA ENTERAL FORMULA PADRAO PARA NUTRICAO ENTERAL, 1000 ML, SF"
"1797","ALIMENTO PARA DIETA ENTERAL FORMULA PADRÃO PARA NUTRICAO ENTERAL, 500 ML, SF"
"1798","ALIMENTO PARA DIETA ENTERAL FORMULA PADRAO PARA NUTRICAO ENTERAL, EM PÎ"
"1799","ALIMENTO PARA DIETA ENTERAL FORMULA PADRÃO PARA NUTRICAO ENTERAL, LIQUIDA"
"1800","ALIMENTO PARA DIETA ENTERAL FORMULA PEDIATRICA ENTERAL COM 1,5 KCAL/ML, LIQUIDA,"
"1801",""
"1802","SF"
"1803","ALIMENTO PARA DIETA ENTERAL FORMULA PEDIATRICA ENTERAL E ORAL OLIGOMERICA, EM"
"1804",""
"1805","PO"
"1806","ALIMENTO PARA DIETA ENTERAL FORMULA PEDIATRICA ENTERAL E ORAL, EM PO, SEM SABOR"
"1807","ALIMENTO PARA DIETA ENTERAL FORMULA PEDIATRICA ENTERAL OLIGOMERICA, LIQUIDA, SF"
"1808","ALIMENTO PARA DIETA ENTERAL FORMULA PEDIATRICA ENTERAL POLIMÔRICA,EM PÎ, SABOR"
"1809",""
"1810","BAUNILHA."
"1811","ALIMENTO PARA DIETA ENTERAL FORMULA PEDIATRICA ORAL C/ 1,5 KCAL/ML LIQ. SABOR"
"1812",""
"1813","BAUNILHA"
"1814","ALIMENTO PARA DIETA ENTERAL FORMULA PEDIATRICA ORAL C/ 1,5 KCAL/ML LIQ. SABOR"
"1815",""
"1816","CHOCOLATE"
"1817","ALIMENTO PARA DIETA ENTERAL FORMULA PEDIATRICA ORAL C/ 1,5 KCAL/ML LIQ. SABOR"
"1818",""
"1819","MORANGO"
"1820","ALIMENTOS NAO PERECIVEIS (ORDENS JUDICIAIS) BISCOITO RECHEADO, COM RESTRICAO DE"
"1821",""
"1822","FENILALANINA, ATÔ 160G"
"1823","ALIMENTOS NAO PERECIVEIS (ORDENS JUDICIAIS) BOLACHA DE MEL ESPECIAL P/"
"1824",""
"1825","FENILCETONURICOS, PACOTE 200 G"
"1826","ALIMENTOS NAO PERECIVEIS (ORDENS JUDICIAIS) BOLACHA DE POLVILHO ESPECIAL P/"
"1827",""
"1828","FENILCETONURICOS 200MG"
"1829","ALIMENTOS NAO PERECIVEIS (ORDENS JUDICIAIS) FARINHA DE SOJA, PACOTE 1 KG"
